Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,serial_number,1,,time_created,1,,,,,,,,
Data,0,file_id,type,5,,manufacturer,15,,garmin_product,22,,serial_number,1234,,time_created,1136994018,,,,,,,,
Definition,0,workout,wkt_name,20,,sport,1,,sub_sport,1,,pool_length,1,m,pool_length_unit,1,,num_valid_steps,1,,,,,,,,
Definition,0,workout_step,message_index,1,,wkt_step_name,20,,duration_type,1,,duration_value,1,,target_type,1,,target_value,1,,intensity,1,,,,,,,,
Data,0,workout,wkt_name,AP W3 Swim A,,sport,5,,sub_sport,0,,pool_length,22.86,m,pool_length_unit,1,,num_valid_steps,14,,,,,,,,
Data,0,workout_step,message_index,0,,wkt_step_name,WU,,duration_type,1,,duration_distance,182.88,m,target_type,11,,target_stroke_type,5,,intensity,2,,,,,,
Data,0,workout_step,message_index,1,,wkt_step_name,Drill,,duration_type,1,,duration_distance,45.72,m,target_type,11,,target_stroke_type,4,,intensity,0,,,,,,
Data,0,workout_step,message_index,2,,wkt_step_name,Drill-R,,duration_type,0,,duration_time,20,s,target_type,2,,target_value,0,,intensity,1,,,,,,
Data,0,workout_step,message_index,3,,wkt_step_name,Drillx4,,duration_type,6,,duration_step,1,,target_type,2,,repeat_steps,4,,intensity,0,,,,,,
Data,0,workout_step,message_index,4,,wkt_step_name,Fast25,,duration_type,1,,duration_distance,22.86,m,target_type,11,,target_stroke_type,0,,intensity,5,,,,,,
Data,0,workout_step,message_index,5,,wkt_step_name,Fast-R,,duration_type,0,,duration_time,25,s,target_type,2,,target_value,0,,intensity,1,,,,,,
Data,0,workout_step,message_index,6,,wkt_step_name,Fastx10,,duration_type,6,,duration_step,4,,target_type,2,,repeat_steps,10,,intensity,0,,,,,,
Data,0,workout_step,message_index,7,,wkt_step_name,Strong50,,duration_type,1,,duration_distance,45.72,m,target_type,11,,target_stroke_type,0,,intensity,4,,,,,,
Data,0,workout_step,message_index,8,,wkt_step_name,Strong-R,,duration_type,0,,duration_time,35,s,target_type,2,,target_value,0,,intensity,1,,,,,,
Data,0,workout_step,message_index,9,,wkt_step_name,Strongx6,,duration_type,6,,duration_step,7,,target_type,2,,repeat_steps,6,,intensity,0,,,,,,
Data,0,workout_step,message_index,10,,wkt_step_name,Easy25,,duration_type,1,,duration_distance,22.86,m,target_type,11,,target_stroke_type,5,,intensity,2,,,,,,
Data,0,workout_step,message_index,11,,wkt_step_name,Easy-R,,duration_type,0,,duration_time,15,s,target_type,2,,target_value,0,,intensity,1,,,,,,
Data,0,workout_step,message_index,12,,wkt_step_name,Easyx4,,duration_type,6,,duration_step,10,,target_type,2,,repeat_steps,4,,intensity,0,,,,,,
Data,0,workout_step,message_index,13,,wkt_step_name,CD,,duration_type,1,,duration_distance,91.44,m,target_type,11,,target_stroke_type,5,,intensity,2,,,,,,
